GenID,Generator Name,Fuel,Bus of Connection,Max Capacity (MW),Variable Cost ($/MWh),No-Load Cost ($/hr),Max Ramp Down (MW/min),Max Ramp Up (MW/min),Min Down Time (h),Min Up Time (h),Min Stable Level (MW),Start Cost ($),must-run?,Day Ahead Generator?
24,Biomass24,Biomass,bus012,1,31,8.736,0.42,0.42,6,6,0.2,5.3,0,0
25,Biomass25,Biomass,bus012,1,31,8.736,0.42,0.42,6,6,0.2,5.3,0,0
26,Biomass26,Biomass,bus012,1.9,30.3,23.256,0.19,0.18,8,8,0.57,10.07,0,0
27,Biomass27,Biomass,bus012,1.9,30.3,23.256,0.19,0.18,8,8,0.57,10.07,0,0
28,Biomass28,Biomass,bus012,1.9,30.3,23.256,0.19,0.18,8,8,0.57,10.07,0,0
29,Biomass29,Biomass,bus012,1.9,30.3,23.256,0.19,0.18,8,8,0.57,10.07,0,0
30,Biomass30,Biomass,bus012,1.9,30.3,23.256,0.19,0.18,8,8,0.57,10.07,0,0
31,Biomass31,Biomass,bus012,1.9,30.3,23.256,0.19,0.18,8,8,0.57,10.07,0,0
32,Biomass32,Biomass,bus012,1.9,31,16.584,0.42,0.42,6,6,0.57,10.07,0,0
33,Biomass33,Biomass,bus103,1.6,30.4,13.656,0.42,0.42,8,5,0.48,8.48,0,0
34,Biomass34,Biomass,bus103,1.6,30.4,13.656,0.42,0.42,8,5,0.48,8.48,0,0
35,Biomass35,Biomass,bus103,1.6,30.4,13.656,0.42,0.42,8,5,0.48,8.48,0,0
36,Biomass36,Biomass,bus103,1.6,30.4,13.656,0.42,0.42,8,5,0.48,8.48,0,0
37,Biomass37,Biomass,bus103,0.95,31,8.28,0.42,0.42,6,6,0.28,5.04,0,0
38,Biomass38,Biomass,bus103,0.95,31,8.28,0.42,0.42,6,6,0.19,5.04,0,0
39,Biomass39,Biomass,bus103,0.95,31,8.28,0.42,0.42,6,6,0.19,5.04,0,0
40,Biomass40,Biomass,bus103,0.95,31,8.28,0.42,0.42,6,6,0.19,5.04,0,0
41,Biomass41,Biomass,bus103,1.88,31,16.416,0.42,0.42,8,8,0.56,9.96,0,0
42,Biomass42,Biomass,bus103,1.88,31,16.416,0.42,0.42,8,8,0.56,9.96,0,0
43,Biomass43,Biomass,bus103,3.75,26.8,40.344,0.06,0.07,8,8,1.12,19.88,0,0
44,Biomass44,Biomass,bus103,2.29,31,19.992,0.42,0.42,8,5,0.69,12.14,0,0
45,Biomass45,Biomass,bus103,2.29,31,19.992,0.42,0.42,8,5,0.69,12.14,0,0
46,Biomass46,Biomass,bus103,1.2,31,10.464,0.42,0.42,8,5,0.36,6.36,0,0
47,Biomass47,Biomass,bus103,3,35.1,29.904,0.42,0.42,8,5,0.9,15.9,0,0
48,Biomass48,Biomass,bus103,3,35.1,29.904,0.42,0.42,8,5,0.9,15.9,0,0
49,Biomass49,Biomass,bus103,1.6,31,13.968,0.42,0.42,6,6,0.32,8.48,0,0
50,Biomass50,Biomass,bus103,0.9,31,7.848,0.42,0.42,6,6,0.27,4.77,0,0
51,Biomass51,Biomass,bus103,0.9,31,7.848,0.42,0.42,6,6,0.18,4.77,0,0
52,Biomass52,Biomass,bus103,3,31,26.184,0.42,0.42,6,6,0.9,15.9,0,0
53,Biomass53,Biomass,bus034,3,31,26.184,0.42,0.42,6,6,0.6,15.9,0,0
54,Biomass54,Biomass,bus034,3,31,26.184,0.42,0.42,6,6,0.6,15.9,0,0
55,Biomass55,Biomass,bus034,3,31,26.184,0.42,0.42,6,6,0.6,15.9,0,0
56,Biomass56,Biomass,bus012,4.6,31,40.152,0.42,0.42,8,8,1.38,24.38,0,0
57,Biomass57,Biomass,bus012,3,31,26.184,0.42,0.42,8,8,0.9,15.9,0,0
58,Biomass58,Biomass,bus012,3,31,26.184,0.42,0.42,8,8,0.9,15.9,0,0
59,Biomass59,Biomass,bus012,4.6,31,40.152,0.42,0.42,8,8,1.38,24.38,0,0
60,Biomass60,Biomass,bus012,3,31,26.184,0.42,0.42,8,8,0.9,15.9,0,0
61,Biomass61,Biomass,bus103,1.88,31,16.416,0.42,0.42,8,8,0.56,9.96,0,0
62,Biomass62,Biomass,bus034,7.5,34.3,72.912,0.42,0.42,8,5,2.25,39.75,0,0
63,CCNG01,Natural gas,bus012,41.5,36.1,1710.612,0.28,0.28,6,8,41.08,3475.54,0,0
64,CCNG03,Natural gas,bus012,126.98,28.9,4414.176,1.06,1.07,4,8,20,10634.31,0,1
65,CCNG04,Natural gas,bus012,320,36,7049.862,2.5,2.5,4,8,160,26799.33,0,1
66,CCNG05,Natural gas,bus074,100,30.1,3475.062,0.73,0.73,8,12,99,8374.79,0,1
67,CCNG06,Natural gas,bus012,13.5,53.1,210.06,2.5,2.5,6,6,4.05,1130.6,0,0
68,CCNG07,Natural gas,bus103,55.1,36.1,2730.942,0.39,0.4,4,8,20,4614.51,0,1
69,CCNG08,Natural gas,bus112,14.3,39.8,349.542,2.5,2.5,6,6,4.29,1197.59,0,0
70,CCNG09,Natural gas,bus107,33,39.8,806.598,2.5,2.5,6,6,32.67,2763.68,0,0
71,CCNG10,Natural gas,bus036,71.51,48,1116.369,2.5,2.5,4,8,21.45299911,5988.812988,0,1
72,CCNG11,Natural gas,bus066,596.4,31.4,14095.458,2.5,2.5,4,8,328.02,49947.25,0,1
73,CCNG12,Natural gas,bus046,150,49,4194.558,2.67,2.67,4,8,60,12562.18,0,1
74,CCNG13,Natural gas,bus012,57.3,36.1,2361.852,0.41,0.4,6,8,20,4798.75,0,1
75,CCNG14,Natural gas,bus049,164.75,40.6,3691.71,1.31,1.3,4,8,65.9,13797.47,0,1
76,CCNG15,Natural gas,bus034,27,57.3,677.268,2.67,2.67,2,2,8.1,2261.19,0,0
77,CCNG16,Natural gas,bus012,943.5,30.1,20742.156,6.65,6.65,4,8,503.86,79016.14,0,1
78,CCNG17,Natural gas,bus025,154.4,33.8,3937.626,2.5,2.5,4,8,84.92,12930.68,0,1
79,CCNG18,Natural gas,bus113,619,30.4,12742.38,4.42,4.42,4,8,306.4,51839.95,0,1
80,CCNG19,Natural gas,bus012,140,28,2688.714,0.88,0.87,4,8,70.48,11724.71,0,1
81,CCNG20,Natural gas,bus025,25.8,36.1,2110.914,2.67,2.67,2,2,25.54,2160.7,0,0
82,CCNG21,Natural gas,bus026,315,44.7,4495.824,2.5,2.5,4,8,141.75,26380.59,0,1
83,CCNG22,Natural gas,bus026,677.8,27,14415.03,7.97,7.97,4,8,385.59,56764.33,0,1
84,CCNG23,Natural gas,bus010,636,30.5,13584.348,5.69,5.68,4,8,326.09,53263.66,0,1
85,CCNG24,Natural gas,bus025,672.3,35.3,13062.6,2.5,2.5,4,8,302.54,56303.71,0,1
86,CCNG25,Natural gas,bus010,32.49,36.1,1339.2,0.22,0.22,4,8,32.17,2720.97,0,0
87,CCNG26,Natural gas,bus010,655,40,10186.56,3.01,3,4,8,262,54854.88,0,1
88,CCNG27,Natural gas,bus004,34.5,36.1,1422.036,0.25,0.25,4,8,34.15,2889.3,0,0
89,CCNG28,Natural gas,bus100,181.5,38.9,4764.28284,2.5,2.5,4,8,99.82499695,15200.24023,0,1
90,CCNG29,Natural gas,bus107,49.9,36.1,2056.86,0.42,0.42,6,8,49.4,4179.02,0,0
91,CCNG31,Natural gas,bus089,336.5,31.4,7941.888,2.5,2.5,4,8,185.07,28181.17,0,1
92,CCNG32,Natural gas,bus090,38.55,36.1,3296.754,1.17,1.17,2,2,38.16,3228.48,0,0
93,CCNG33,Natural gas,bus090,24.88,53.1,387.126,2.5,2.5,8,8,24.63,2083.65,0,0
94,CCNG34,Natural gas,bus087,688.3,29.7,13711.572,5.61,5.62,4,8,338.08,57643.68,0,1
95,CCNG35,Natural gas,bus089,595,30.3,12346.452,3.69,3.68,4,8,298.29,49830,0,1
96,CCNG36,Natural gas,bus087,668,30.3,15218.334,2.5,2.5,4,8,367.4,55943.6,0,1
97,CCNG37,Natural gas,bus065,636,29.1,12103.506,6.69,6.68,4,8,298.19,53263.66,0,1
98,CCNG38,Natural gas,bus049,98.2,31,1812.456,2.5,2.5,4,8,42.69,8224.04,0,1
99,CCNG39,Natural gas,bus018,247,36.1,11513.394,2.02,2.03,4,8,244.53,20685.73,0,1
100,CCNG40,Natural gas,bus107,751.1,31.5,5243.616,1.856,1.85,4,8,412.5,62810.93,0,1
101,CTNG01,Natural gas,bus006,25.4,49.2,718.74,2.67,2.67,2,2,11.43,861.65,0,0
102,CTNG02,Natural gas,bus018,25.4,49.1,717.984,2.67,2.67,2,2,11.43,861.65,0,0
103,CTNG03,Natural gas,bus004,24.75,49.2,700.38,2.67,2.67,2,2,11.14,839.6,0,0
104,CTNG04,Natural gas,bus004,24.75,49.2,700.38,2.67,2.67,2,2,11.14,839.6,0,0
105,CTNG05,Natural gas,bus004,49.9,55.7,1372.95,1.33,1.33,2,2,14.97,1692.77,0,0
106,CTNG06,Natural gas,bus006,49.9,55.7,1372.95,1.33,1.33,2,2,14.97,1692.77,0,0
107,CTNG07,Natural gas,bus006,49.9,55.7,1372.95,1.33,1.33,2,2,14.97,1692.77,0,0
108,CTNG08,Natural gas,bus008,50,54.6,1312.092,1.67,1.67,2,2,15,1696.16,0,0
109,CTNG09,Natural gas,bus008,50,48.1,1382.4,1.97,1.97,1,1,25,1696.16,0,0
110,CTNG10,Natural gas,bus008,50,48.1,1382.4,1.97,1.97,1,1,25,1696.16,0,0
111,CTNG11,Natural gas,bus010,50,48.1,1382.4,1.97,1.97,1,1,25,1696.16,0,0
112,CTNG12,Natural gas,bus010,50,48.1,1382.4,1.97,1.97,1,1,25,1696.16,0,0
113,CTNG13,Natural gas,bus006,21.6,54.6,566.838,0.67,0.67,1,1,21.3,732.74,0,0
114,CTNG14,Natural gas,bus006,21.6,54.6,566.838,0.67,0.67,1,1,21.3,732.74,0,0
115,CTNG15,Natural gas,bus025,21.6,54.6,566.838,0.67,0.67,1,1,21.3,732.74,0,0
116,CTNG16,Natural gas,bus025,49.9,49.2,1412.046,1.33,1.33,2,2,22.45,1692.77,0,0
117,CTNG17,Natural gas,bus004,6.9,42,93.582,1,1,1,1,3.11,234.07,0,0
118,CTNG18,Natural gas,bus004,3.9,42,52.866,1,1,1,1,1.75,132.3,0,0
119,CTNG19,Natural gas,bus018,3.9,42,52.866,1,1,1,1,1.75,132.3,0,0
120,CTNG20,Natural gas,bus025,6.9,42,93.582,1,1,1,1,3.11,234.07,0,0
121,CTNG21,Natural gas,bus085,100,31,3251.826,6.266666667,6.266666667,1,1,20,3392.320068,0,1
122,CTNG22,Natural gas,bus091,100,31,3251.826,6.27,6.27,1,1,20,3392.32,0,1
123,CTNG23,Natural gas,bus091,100,31,3251.826,6.27,6.27,1,1,20,3392.32,0,1
124,CTNG24,Natural gas,bus100,100,31,3251.826,6.27,6.27,1,1,20,3392.32,0,1
125,CTNG25,Natural gas,bus100,100,31,3251.826,6.27,6.27,1,1,20,3392.32,0,1
126,CTNG26,Natural gas,bus100,100,31,3251.826,6.27,6.27,1,1,20,3392.32,0,1
127,CTNG27,Natural gas,bus107,1.05,42,14.256,1,1,1,1,0,35.62,0,0
128,CTNG28,Natural gas,bus100,44.02,57.2,1244.916,2.67,2.67,2,2,13.21,1493.3,0,0
129,CTNG29,Natural gas,bus107,0.6,42,8.154,1,1,1,1,0,20.35,0,0
130,CTNG30,Natural gas,bus090,18,56.9,451.494,2.67,2.67,2,2,5.4,610.62,0,0
131,CTNG31,Natural gas,bus107,1.54,42,20.898,1,1,1,1,0,52.24,0,0
132,CTNG32,Natural gas,bus107,1.6,42,21.708,1,1,1,1,0,54.28,0,0
133,CTNG33,Natural gas,bus107,1.3,42,17.604,1,1,1,1,0,44.1,0,0
134,CTNG34,Natural gas,bus100,100,30.7,2890.512,5.33,5.33,1,1,45,10919.03,0,1
135,CTNG35,Natural gas,bus100,100,30.7,2890.512,5.33,5.33,1,1,45,10919.03,0,1
136,CTNG36,Natural gas,bus100,100,30.7,2890.512,5.33,5.33,1,1,45,10919.03,0,1
137,CTNG37,Natural gas,bus107,1.3,42,17.604,1,1,1,1,0,44.1,0,0
138,CTNG38,Natural gas,bus090,9.5,42,128.844,1,1,1,1,0,322.27,0,0
139,CTNG39,Natural gas,bus112,1.3,42,17.604,1,1,1,1,0,44.1,0,0
140,CTNG40,Natural gas,bus112,3.1,42,42.012,1,1,1,1,0.93,105.16,0,0
141,CTNG41,Natural gas,bus040,54,41.7,942.192,0.8,0.8,8,8,16.2,1831.85,0,1
142,CTNG42,Natural gas,bus036,82.4,57.3,1328.832,1.33,1.33,2,2,19.78,2795.27,0,1
143,CTNG43,Natural gas,bus062,25,50.7,838.08,3.47,3.47,1,1,7.5,848.08,0,0
144,CTNG44,Natural gas,bus055,60.35,49.2,1707.804,1.33,1.33,2,2,27.16,2047.27,0,1
145,CTNG45,Natural gas,bus055,60.35,49.2,1707.804,1.33,1.33,2,2,27.16,2047.27,0,1
146,CTNG46,Natural gas,bus026,180,30.6,5853.276,5.33,5.33,2,2,81,19654.25,0,1
147,CTNG47,Natural gas,bus026,180,30.6,5853.276,5.33,5.33,2,2,81,19654.25,0,1
148,CTNG48,Natural gas,bus026,180,30.6,5853.276,5.33,5.33,2,2,81,19654.25,0,1
149,CTNG49,Natural gas,bus026,180,30.6,5853.276,5.33,5.33,2,2,81,19654.25,0,1
150,CTNG50,Natural gas,bus111,49.96,48.9,1407.672,2.67,2.67,2,2,22.48,5455.15,0,0
151,CTNG51,Natural gas,bus085,8.57,30.8,439.83,0.47,0.47,8,8,8.48,935.76,0,0
152,CTNG52,Natural gas,bus085,10.71,30.8,549.666,0.47,0.47,8,8,10.6,1169.43,0,0
153,CTNG53,Natural gas,bus085,10.71,30.8,549.666,0.47,0.47,8,8,10.6,1169.43,0,0
154,CTNG54,Natural gas,bus111,49.9,50.6,1418.688,2.67,2.67,2,2,22.45,5448.6,0,0
155,CTNG55,Natural gas,bus091,15,56.4,373.14,2.67,2.67,2,2,4.5,1637.85,0,0
156,CTNG56,Natural gas,bus111,46.9,48.7,1316.52,2.67,2.67,2,2,21.1,5121.02,0,0
157,CTNG66,Natural gas,bus111,45,49.1,1273.428,2.67,2.67,2,2,20.25,4913.56,0,0
158,CTNG67,Natural gas,bus111,45,49.1,1273.428,2.67,2.67,2,2,20.25,4913.56,0,0
159,CTNG68,Natural gas,bus111,46.7,49,1319.706,1.53,1.53,2,2,21.01,5099.19,0,0
160,CTNG69,Natural gas,bus111,49.5,42,3179.25,2.67,2.67,2,2,22.27,5404.92,0,0
161,CTNG70,Natural gas,bus111,44.02,48.9,1239.84,2.67,2.67,2,2,19.81,4806.56,0,0
162,CTNG71,Natural gas,bus111,44.02,48.9,1239.84,2.67,2.67,2,2,19.81,4806.56,0,0
163,CTNG72,Natural gas,bus112,50,42.1,3211.38,5.33,5.33,2,2,22.5,5459.52,0,0
164,CTNG73,Natural gas,bus112,50,42.1,3211.38,5.33,5.33,2,2,22.5,5459.52,0,0
165,CTNG74,Natural gas,bus042,42,39.3,921.618,1.23,1.23,4,8,16.8,4585.99,0,0
166,CTNG75,Natural gas,bus049,50.4,57.2,812.43,1.33,1.33,1,1,21.91,5503.19,0,1
167,CTOil01,Oil,bus026,74.5,211.4,7602.63,1.83,1.83,2,2,22.35,2369.32,0,1
168,CTOil02,Oil,bus010,74.5,211.4,7602.63,1.83,1.83,2,2,22.35,2369.32,0,1
169,CTOil03,Oil,bus010,74.5,211.4,7602.63,1.83,1.83,2,2,22.35,2369.32,0,1
170,CTOil04,Oil,bus054,71.2,220.6,6945.54,1.33,1.33,2,2,21.36,2264.37,0,1
171,CTOil05,Oil,bus054,71.2,220.6,6945.54,1.33,1.33,2,2,21.36,2264.37,0,1
172,Geo01,Geothermal,bus055,22,2.9,0,0.07,0.07,6,6,11,0,0,0
173,Hydro01,Hydro,bus056,75,0,0,0.83,0.83,1,1,0,0,0,1
174,Hydro02,Hydro,bus056,75,0,0,0.83,0.83,1,1,0,0,0,1
175,Hydro03,Hydro,bus066,77,0,0,0.86,0.86,1,1,0,0,0,1
176,Hydro04,Hydro,bus076,77,0,0,0.86,0.86,1,1,0,0,0,1
177,Hydro05,Hydro,bus049,82,0,0,0.91,0.91,1,1,0,0,0,1
178,Hydro06,Hydro,bus059,1225.31,0,0,1.58,1.58,1,1,0,0,0,1
179,Hydro07,Hydro,bus059,1225.31,0,0,1.58,1.58,1,1,0,0,0,1
180,Hydro08,Hydro,bus061,1225.31,0,0,1.58,1.58,1,1,0,0,0,1
181,Hydro09,Hydro,bus061,1225.31,0,0,1.58,1.58,1,1,0,0,0,1
182,Hydro10,Hydro,bus062,1225.31,0,0,1.58,1.58,1,1,0,0,0,1
183,Hydro11,Hydro,bus076,810.77,0,0,0.78,0.78,1,1,0,0,0,1
184,Hydro12,Hydro,bus077,810.78,0,0,0.78,0.78,1,1,0,0,0,1
185,Hydro13,Hydro,bus059,46.7,0,0,0.52,0.52,1,1,0,0,0,0
186,Hydro14,Hydro,bus099,110,0,0,1.22,1.22,1,1,0,0,0,1
187,Hydro15,Hydro,bus080,140,0,0,1.56,1.56,1,1,0,0,0,1
188,Hydro16,Hydro,bus032,0.8,0,0,0.01,0.01,1,1,0,0,0,0
189,Hydro17,Hydro,bus112,1.35,0,0,0.02,0.02,1,1,0,0,0,0
190,Hydro18,Hydro,bus112,4.65,0,0,0.05,0.05,1,1,0,0,0,0
191,Hydro19,Hydro,bus116,648.44,0,0,0.61,0.61,1,1,0,0,0,1
192,Hydro20,Hydro,bus077,765.77,0,0,0.8,0.8,1,1,0,0,0,1
193,Hydro21,Hydro,bus099,765.77,0,0,0.8,0.8,1,1,0,0,0,1
194,Hydro22,Hydro,bus099,765.77,0,0,0.8,0.8,1,1,0,0,0,1
195,Hydro23,Hydro,bus069,742.63,0,0,0.95,0.95,1,1,0,0,0,1
196,Hydro24,Hydro,bus069,742.63,0,0,0.95,0.95,1,1,0,0,0,1
197,Hydro25,Hydro,bus061,286.46,0,0,0.43,0.43,1,1,0,0,0,1
198,Hydro26,Hydro,bus116,286.46,0,0,0.43,0.43,1,1,0,0,0,1
199,Hydro27,Hydro,bus080,286.46,0,0,0.43,0.43,1,1,0,0,0,1
200,Hydro28,Hydro,bus080,1116.06,0,0,1.67,1.67,1,1,0,0,0,1
201,Hydro29,Hydro,bus080,1116.06,0,0,1.67,1.67,1,1,0,0,0,1
202,Hydro30,Hydro,bus034,0.1,0,0,0.1,0.1,1,1,0,0,0,0
203,Hydro31,Hydro,bus034,0.4,0,0,0.4,0.4,1,1,0,0,0,0
204,Hydro32,Hydro,bus034,0.48,0,0,0.01,0.01,1,1,0,0,0,0
205,Hydro33,Hydro,bus069,1112.39,0,0,1.06,1.06,1,1,0,0,0,1
206,Hydro34,Hydro,bus069,1112.39,0,0,1.06,1.06,1,1,0,0,0,1
207,Hydro35,Hydro,bus034,0.24,0,0,0.24,0.24,1,1,0,0,0,0
208,Hydro36,Hydro,bus034,10.76,0,0,0.02,0.02,1,1,0,0,0,0
209,Hydro37,Hydro,bus036,47.1,0,0,47.1,47.1,1,1,0,0,0,0
210,Hydro38,Hydro,bus034,2.46,0,0,2.46,2.46,1,1,0,0,0,0
211,Hydro39,Hydro,bus034,2.46,0,0,2.46,2.46,1,1,0,0,0,0
212,Hydro40,Hydro,bus065,96.93,0,0,96.93,96.93,1,1,0,0,0,1
213,Hydro41,Hydro,bus046,96.26,0,0,96.26,96.26,1,1,0,0,0,1
214,Hydro42,Hydro,bus042,96.26,0,0,96.26,96.26,1,1,0,0,0,1
215,Hydro43,Hydro,bus099,111.93,0,0,111.93,111.93,1,1,0,0,0,1
216,ICENG01,Natural gas,bus112,3.25,44.6,49.248,4.17,4.17,1,1,0,34.45,0,0
217,ICENG02,Natural gas,bus056,8.4,44.7,85.374,1,1,3,5,1.68,44.52,0,0
218,ICENG03,Natural gas,bus065,8.4,44.7,85.374,1,1,3,5,1.68,44.52,0,0
219,ICENG04,Natural gas,bus065,8.4,44.7,85.374,1,1,3,5,1.68,44.52,0,0
220,ICENG05,Natural gas,bus077,8.4,44.7,85.374,1,1,3,5,1.68,44.52,0,0
221,ICENG06,Natural gas,bus077,8.4,44.7,85.374,1,1,3,5,1.68,44.52,0,0
222,ICENG07,Natural gas,bus034,8.4,44.7,85.374,1,1,3,5,1.68,44.52,0,0
223,Solar01,Solar,bus032,746.76,0,0,746.76,746.76,0,0,0,0,1,0
224,Solar02,Solar,bus092,369.26,0,0,369.26,369.26,0,0,0,0,1,0
225,Solar03,Solar,bus054,264.47,0,0,264.47,264.47,0,0,0,0,1,0
226,Solar04,Solar,bus032,4.85,0,0,4.85,4.85,0,0,0,0,1,0
227,Solar05,Solar,bus018,0.12,0,0,0.12,0.12,0,0,0,0,1,0
228,Solar06,Solar,bus018,6.33,0,0,6.33,6.33,0,0,0,0,1,0
229,Solar07,Solar,bus018,0.21,0,0,0.21,0.21,0,0,0,0,1,0
230,Solar08,Solar,bus018,2.51,0,0,2.51,2.51,0,0,0,0,1,0
231,Solar09,Solar,bus018,12.85,0,0,12.85,12.85,0,0,0,0,1,0
232,Solar10,Solar,bus015,9.71,0,0,9.71,9.71,0,0,0,0,1,0
233,Solar11,Solar,bus015,1.98,0,0,1.98,1.98,0,0,0,0,1,0
234,Solar12,Solar,bus015,1.54,0,0,1.54,1.54,0,0,0,0,1,0
235,Solar13,Solar,bus015,0.26,0,0,0.26,0.26,0,0,0,0,1,0
236,Solar14,Solar,bus015,11.71,0,0,11.71,11.71,0,0,0,0,1,0
237,Solar15,Solar,bus015,10.53,0,0,10.53,10.53,0,0,0,0,1,0
238,Solar16,Solar,bus015,6.6,0,0,6.6,6.6,0,0,0,0,1,0
239,Solar17,Solar,bus015,3.01,0,0,3.01,3.01,0,0,0,0,1,0
240,Solar18,Solar,bus015,12.35,0,0,12.35,12.35,0,0,0,0,1,0
241,Solar19,Solar,bus015,0.1,0,0,0.1,0.1,0,0,0,0,1,0
242,Solar20,Solar,bus015,10.08,0,0,10.08,10.08,0,0,0,0,1,0
243,Solar21,Solar,bus015,18.42,0,0,18.42,18.42,0,0,0,0,1,0
244,Solar22,Solar,bus015,8.98,0,0,8.98,8.98,0,0,0,0,1,0
245,Solar23,Solar,bus015,0.29,0,0,0.29,0.29,0,0,0,0,1,0
246,Solar24,Solar,bus015,1.45,0,0,1.45,1.45,0,0,0,0,1,0
247,Solar25,Solar,bus015,1.94,0,0,1.94,1.94,0,0,0,0,1,0
248,Solar26,Solar,bus015,1.8,0,0,1.8,1.8,0,0,0,0,1,0
249,Solar27,Solar,bus015,1.13,0,0,1.13,1.13,0,0,0,0,1,0
250,Solar28,Solar,bus015,8.03,0,0,8.03,8.03,0,0,0,0,1,0
251,Solar29,Solar,bus015,8.63,0,0,8.63,8.63,0,0,0,0,1,0
252,Solar30,Solar,bus015,4.5,0,0,4.5,4.5,0,0,0,0,1,0
253,Solar31,Solar,bus104,116.03,0,0,116.03,116.03,0,0,0,0,1,0
254,Solar32,Solar,bus104,173.97,0,0,173.97,173.97,0,0,0,0,1,0
255,Solar33,Solar,bus104,132,0,0,132,132,0,0,0,0,1,0
256,Solar34,Solar,bus110,125,0,0,125,125,0,0,0,0,1,0
257,Solar35,Solar,bus104,45,0,0,45,45,0,0,0,0,1,0
258,Solar36,Solar,bus110,128.9,0,0,128.9,128.9,0,0,0,0,1,0
259,Solar37,Solar,bus112,26,0,0,26,26,0,0,0,0,1,0
260,Solar38,Solar,bus112,20,0,0,20,20,0,0,0,0,1,0
261,Solar39,Solar,bus112,1.75,0,0,1.75,1.75,0,0,0,0,1,0
262,Solar40,Solar,bus112,1.75,0,0,1.75,1.75,0,0,0,0,1,0
263,Solar41,Solar,bus112,1.75,0,0,1.75,1.75,0,0,0,0,1,0
264,Solar42,Solar,bus112,1.75,0,0,1.75,1.75,0,0,0,0,1,0
265,Solar43,Solar,bus112,1.75,0,0,1.75,1.75,0,0,0,0,1,0
266,Solar44,Solar,bus112,1.75,0,0,1.75,1.75,0,0,0,0,1,0
267,Solar45,Solar,bus112,1.75,0,0,1.75,1.75,0,0,0,0,1,0
268,Solar46,Solar,bus112,1.75,0,0,1.75,1.75,0,0,0,0,1,0
269,Solar47,Solar,bus112,1.75,0,0,1.75,1.75,0,0,0,0,1,0
270,Solar48,Solar,bus112,1.75,0,0,1.75,1.75,0,0,0,0,1,0
271,Solar49,Solar,bus112,1.1,0,0,1.1,1.1,0,0,0,0,1,0
272,Solar50,Solar,bus112,4.69,0,0,4.69,4.69,0,0,0,0,1,0
273,Solar51,Solar,bus112,15.65,0,0,15.65,15.65,0,0,0,0,1,0
274,Solar52,Solar,bus112,10.64,0,0,10.64,10.64,0,0,0,0,1,0
275,Solar53,Solar,bus112,16.09,0,0,16.09,16.09,0,0,0,0,1,0
276,Solar54,Solar,bus112,9.2,0,0,9.2,9.2,0,0,0,0,1,0
277,Solar55,Solar,bus112,20.01,0,0,20.01,20.01,0,0,0,0,1,0
278,Solar56,Solar,bus112,20.07,0,0,20.07,20.07,0,0,0,0,1,0
279,Solar57,Solar,bus112,6.84,0,0,6.84,6.84,0,0,0,0,1,0
